Date;Day Number;Day;Month;Short Month;Calendar Month Number;Calendar Month Label;Calendar Year;Calendar Year Label;Fiscal Month Number;Fiscal Month Label;Fiscal Year;Fiscal Year Label;ISO Week Number
01/01/2013;1;1;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;1
02/01/2013;2;2;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;1
03/01/2013;3;3;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;1
04/01/2013;4;4;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;1
05/01/2013;5;5;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;1
06/01/2013;6;6;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;1
07/01/2013;7;7;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;2
08/01/2013;8;8;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;2
09/01/2013;9;9;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;2
10/01/2013;10;10;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;2
11/01/2013;11;11;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;2
12/01/2013;12;12;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;2
13/01/2013;13;13;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;2
14/01/2013;14;14;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;3
15/01/2013;15;15;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;3
16/01/2013;16;16;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;3
17/01/2013;17;17;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;3
18/01/2013;18;18;January;Jan;1;CY2013-Jan;2013;CY2013;3;FY2013-Jan;2013;FY2013;3
